Date,Open,High,Low,Close
15-March-2024,72886.77,72998.07,72484.82,72643.43,
18-March-2024,72587.30,72985.89,72314.16,72748.42,
19-March-2024,72462.94,72490.09,71933.35,72012.05,
20-March-2024,72036.86,72402.67,71674.42,72101.69,
21-March-2024,72507.36,72882.46,72416.03,72641.19,
26-March-2024,72396.97,72705.29,72363.03,72470.30,
27-March-2024,72692.16,73138.73,72600.73,72996.31,
28-March-2024,73149.34,74190.31,73120.33,73651.35,
1-April-2024,73968.62,74254.62,73909.39,74014.55,
2-April-2024,74022.30,74099.78,73743.77,73903.91,
3-April-2024,73757.23,74151.21,73540.27,73876.82,
4-April-2024,74413.82,74501.73,73485.12,74227.63,
5-April-2024,74287.02,74361.11,73946.92,74248.22,
8-April-2024,74555.44,74869.30,74410.07,74742.50,
9-April-2024,75124.28,75124.28,74603.37,74683.70,
10-April-2024,74953.96,75105.14,74807.55,75038.15,
12-April-2024,74889.64,74951.88,74189.31,74244.90,
